osmid,y,x,street_count,highway,ref,geometry
90534963,38.462923,-121.44261,4,,,POINT (-121.44261 38.462923)
90534973,38.463458,-121.44292,1,turning_circle,,POINT (-121.44292 38.463458)
90535209,38.648974,-121.443033,3,,,POINT (-121.443033 38.648974)
90535213,38.648262,-121.443034,3,,,POINT (-121.443034 38.648262)
90535253,38.617186,-121.505911,1,turning_circle,,POINT (-121.505911 38.617186)
90535302,38.6618132,-121.5266292,3,,,POINT (-121.5266292 38.6618132)
90535336,38.6647679,-121.5285661,3,,,POINT (-121.5285661 38.6647679)
90535350,38.534046,-121.438602,3,,,POINT (-121.438602 38.534046)
90535989,38.638352,-121.435052,3,,,POINT (-121.435052 38.638352)
90535991,38.6401556,-121.4350721,3,,,POINT (-121.4350721 38.6401556)
90536159,38.471115,-121.430616,3,,,POINT (-121.430616 38.471115)
90536218,38.5187925,-121.3905613,4,,,POINT (-121.3905613 38.5187925)
90536220,38.518797,-121.386542,1,,,POINT (-121.386542 38.518797)
90536330,38.527239,-121.452278,3,,,POINT (-121.452278 38.527239)
90536561,38.520394,-121.517998,1,turning_circle,,POINT (-121.517998 38.520394)
90536578,38.488996,-121.496832,3,,,POINT (-121.496832 38.488996)
90536579,38.4847712,-121.4967711,4,,,POINT (-121.4967711 38.4847712)
90536580,38.4813658,-121.4967098,3,,,POINT (-121.4967098 38.4813658)
90537259,38.6779038,-121.495798,3,,,POINT (-121.495798 38.6779038)
90537264,38.6792682,-121.495803,4,,,POINT (-121.495803 38.6792682)
90537280,38.6813268,-121.4962295,3,,,POINT (-121.4962295 38.6813268)
90537288,38.6818121,-121.496991,3,,,POINT (-121.496991 38.6818121)
90537302,38.6819775,-121.4986804,3,,,POINT (-121.4986804 38.6819775)
90537304,38.6819808,-121.4994236,3,,,POINT (-121.4994236 38.6819808)
90537307,38.6819715,-121.5031325,3,stop,,POINT (-121.5031325 38.6819715)
90537308,38.6819683,-121.505457,4,stop,,POINT (-121.505457 38.6819683)
90537487,38.462776,-121.432682,3,,,POINT (-121.432682 38.462776)
90537495,38.460934,-121.431761,3,,,POINT (-121.431761 38.460934)
90537608,38.4838389,-121.4568832,4,,,POINT (-121.4568832 38.4838389)
